incident_number,incident_types,reported_date,nearest_populated_centre,province,company,status,latitude,longitude,approx_vol_released,substance,release_type,significant,year,occurrence_date_and_time,discovered_date_and_time,detailed_what_happened,what_happened_category,detailed_why_it_happened,why_it_happened_category,duration_of_interruption_of_pipeline_operations,pipeline_or_facility_type,activity_being_performed_at_time_of_incident,how_the_incident_was_discovered,closed_date,pipeline_or_facility_equipment_involved,rupture,incident_type,released_substance_type,released_volume_m3,pipe_body_release,residual_effects_on_the_environment,source_of_explosion,source_of_fire,activity_at_time_of_fatality,number_of_fatalities,type_of_injury,number_of_individuals_injured,workdays_lost,work_restricted_by_injury,conditions_that_resulted_in_the_operation_beyond_limits,conditions_that_resulted_in_adverse_effects_on_the_environment,number_of_people_evacuated,regulation,pipeline_name,pipeline_outside_diameter_nps,pipeline_length_km,substance_carried,facility_name,facility_type,facility_latitude,facility_longitude,country,affects_company_property,off_company_property,affects_pipeline_right_of_way,affects_off_pipeline_right_of_way,land_use,population_density,kilometre_post,emergency_level,investigation_type,was_neb_staff_deployed,related_neb_event_number,equipment_or_component_involved,design_standard,nominal_pipe_size,material,material_grade,schedule,design_wall_thickness_mm,custom_design_wall_thickness_mm,actual_wall_thickness_mm,licensed_maximum_operating_pressure_k_pa,restricted_operating_pressure_k_pa,actual_operating_pressure_at_time_of_failure_k_pa,designed_depth_of_cover_m,actual_depth_of_cover_m,year_of_manufacture,year_of_installation,year_when_put_into_service,most_recent_cathodic_protection_reading_at_incident_site_m_v_vs_cu_cu_so4,weld_type,seam_type,seam_joining_method,seam_clock_position,coating_location,coating_type,coating_condition,application_method,year_when_the_coating_was_applied,insulation_installed,repair_type,repair_date,equipment_or_component_has_never_been_inspected,most_recent_inspection_date_for_the_failed_equipment_or_component,type_of_most_recent_inspection,most_recent_inspection_part_of_the_routine_inspection_program,no_maintenance_done_on_this_equipment_or_component,date_of_the_most_recent_maintenance_work_for_the_failed_equipment_or_component,most_recent_maintenance_type,most_recent_maintenance_work_part_of_the_routine_maintenance_program,reported_year,reported_month,reported_day
INC2019-038,Serious Injury (NEB or TSB),2019-04-04,Sherwood Park,Alberta,Trans Mountain Pipeline ULC,Closed,53.5422999,-113.3677955,0,Not Applicable,Not Applicable,Yes,2019,4/3/2019 11:00,4/4/2019 8:49,"Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk",Incorrect Operation,"Personal factors, Mental or psychological stress, Routine, monotony, demand for uneventful vigilance;Personal factors, Mental or psychological stress, Preoccupation with problems;Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,No pipeline interruption,Transmission,Maintenance,Employee / Contractor (Onsite),6/27/2019,No,No,Serious Injury (NEB or TSB),NA,NA,NA,No,NA,NA,NA,NA,Fracture,1,NA,No,NA,NA,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",NA,Valve,NA,NA,Canada,No,No,No,No,Developed Land - Industrial,46 or more dwelling units per km,0,Not Emergency,Inactive Investigation Level in Error,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,4,4
INC2019-036,Fire,2019-03-21,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Closed,49.26848937,-122.931342,0,Not Applicable,Not Applicable,No,2019,3/20/2019 10:15,3/20/2019 11:11,"Damage or deterioration mechanism, External Interference, Company Contractor;Damage or deterioration mechanism, External Interference, Third Party;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk","External Interference, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Inadequate Supervision, Maintenance",No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),5/10/2019,No,No,Fire,NA,NA,NA,No,NA,Welding or Cutting,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",BURNABY,NA,49.26848937,-122.931342,Canada,Yes,No,No,No,Developed Land - Industrial,More than 10 but fewer than 46 dwelling units per km,1147,Not Emergency,Inactive Investigation Level in Error,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,3,21
INC2019-034,Fire,2019-03-18,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Closed,49.26848937,-122.931342,0,Not Applicable,Not Applicable,No,2019,3/18/2019 12:31,3/18/2019 11:55,"Damage or deterioration mechanism, External Interference, Company Contractor;Substandard Acts, Failure to check or monitor;Damage or deterioration mechanism, Electrical Power System Failure, Electrical Fault","Equipment Failure, External Interference, Incorrect Operation","Job or system factors, Excessive wear and tear, Use by unqualified or untrained people",Maintenance,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),4/18/2019,No,No,Fire,NA,NA,NA,No,NA,Equipment & Electrical,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",BURNABY,NA,49.26848937,-122.931342,Canada,Yes,No,No,No,Developed Land - Industrial,More than 10 but fewer than 46 dwelling units per km,1147,Not Emergency,Inactive Investigation Level in Error,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,3,18
INC2019-032,Operation Beyond Design Limits,2019-03-14,Merritt,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Submitted,50.74267954,-120.8488661,0,Not Applicable,Not Applicable,No,2019,NA,5/9/2017 12:00,"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Substandard Conditions, Weather Related, Heavy rains or floods","External Interference, Natural Force Damage","External Interference, Natural or Environmental Forces",Natural or Environmental Forces,No pipeline interruption,Transmission,Operation,Scheduled Patrol,NA,Yes,No,"Geo-technical, Hydro-technical or Environmental Activity Threatens the Safe Operation of a Pipeline, Operation Beyond Design Limits",NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Exposure in a Waterbody,NA,0,OPR,Southern Mainline,NA,NA,NA,NA,Meter,NA,NA,Canada,No,No,Yes,No,Agricultural Cropland,10 or fewer dwelling units per km,88.858 km downstream of Compressor Station 7,Not Emergency,Inactive Investigation Level in Error,No,NA,"Pipeline, Pipe, Body",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,3,14
INC2019-031,Fire,2019-03-07,Edmoton,Alberta,Trans Mountain Pipeline ULC,Closed,53.499491,-113.589715,0,Not Applicable,Not Applicable,No,2019,3/7/2019 9:15,3/7/2019 9:15,"Damage or deterioration mechanism, Equipment, Gasket/O-ring;Substandard Acts, Failure to check or monitor;Substandard Conditions, Inadequate instructions or procedures","Equipment Failure, External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Inadequate initial training;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Excessive wear and tear, Inadequate maintenance","Human Factors, Inadequate Supervision, Maintenance",No pipeline interruption,Transmission,Maintenance,Employee / Contractor (Onsite),4/29/2019,No,No,Fire,NA,NA,NA,No,NA,Housekeeping,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",NA,Meter,NA,NA,Canada,No,No,Yes,No,Water / Wetlands,46 or more dwelling units per km,KP 20,Not Emergency,Inactive Investigation Level in Error,No,OM2017-066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,3,7
INC2019-030,Fire,2019-03-05,Wonowon,British Columbia,NOVA Gas Transmission Ltd.,Closed,56.780686,-122.146267,0,Not Applicable,Not Applicable,No,2019,NA,3/5/2019 3:30,"Damage or deterioration mechanism, Electrical Power System Failure, Electrical Fault",Equipment Failure,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units",Maintenance,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),5/10/2019,No,No,Fire,NA,NA,NA,No,NA,Equipment & Electrical,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NORTH MONTNEY MAINLINE,1067,287.6755648,Natural Gas Sweet,NA,NA,NA,NA,Canada,No,Yes,Yes,No,Forests,10 or fewer dwelling units per km,152+825,Not Emergency,Inactive Investigation Level in Error,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,3,5
INC2019-029,Release of Substance,2019-02-28,Edmundston,New Brunswick,Twin Rivers Paper Company Inc.,Submitted,47.3614398,-68.3284301,2,Water,Miscellaneous,No,2019,2/28/2019 3:30,2/28/2019 3:30,"Damage or deterioration mechanism, Equipment, Gasket/O-ring",Equipment Failure,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,No pipeline interruption,Distribution,Operation,Public,NA,Yes,No,Release of Substance,Water,2,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,BLEACHED WHITE WATER RETURN,508,1.7214524,White Water,NA,NA,NA,NA,Canada,No,Yes,Yes,No,Developed Land - Industrial,46 or more dwelling units per km,NA,Not Emergency,Inactive Investigation Level in Error,No,NA,"Pipeline, Fitting, Other (please explain);Pipeline, Auxiliary device(s) (please explain)",NA,NPS 20,Stainless Steel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2/28/2019,No,3/19/2015,Visual,No,No,3/19/2015,Replacement,No,2019,2,28
INC2019-028,Fire,2019-02-28,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.24568023,-116.2396272,0,Not Applicable,Not Applicable,No,2019,2/27/2019 10:00,2/27/2019 10:00,"Damage or deterioration mechanism, Other Causes, Unknown",Other Causes,"External Interference, Natural or Environmental Forces",Natural or Environmental Forces,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),6/7/2019,No,No,Fire,NA,NA,NA,No,NA,Equipment & Electrical,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,EDSON M/L - NPS 30,762,241.850292,Natural Gas,WOLF LAKE,NA,53.24568023,-116.2396272,Canada,No,No,Yes,No,Forests,10 or fewer dwelling units per km,NA,Not Emergency,Inactive Investigation Level in Error,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,2,28
INC2019-026,Fire,2019-02-22,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Closed,49.26848937,-122.931342,0,Not Applicable,Not Applicable,No,2019,2/21/2019 6:00,2/21/2019 6:00,"Damage or deterioration mechanism, External Interference, Company Contractor;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Poor housekeeping or disorder","External Interference, Incorrect Operation","Job or system factors, Inadequate purchasing, Inadequate research on materials or equipment;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Inadequate Procurement, Maintenance",No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),4/1/2019,No,No,Fire,NA,NA,NA,No,NA,Housekeeping,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",BURNABY,NA,49.26848937,-122.931342,Canada,Yes,No,No,No,Developed Land - Industrial,More than 10 but fewer than 46 dwelling units per km,1147,Not Emergency,Inactive Investigation Level in Error,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,2,22
INC2019-025,Release of Substance,2019-02-20,Hearst,Ontario,TransCanada PipeLines Limited,Submitted,49.74450054,-84.06775503,1258.35,Natural Gas - Sweet,Gas,No,2019,NA,2/19/2019 9:00,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria",Engineering and Planning,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),NA,Yes,No,Release of Substance,Natural Gas - Sweet,1258.35,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,STN 88 - CALSTOCK,NA,49.74450054,-84.06775503,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units per km,NA,Not Emergency,Inactive Investigation Level in Error,No,NA,"Station/Facility, Compression, Auxiliary device(s) (please explain)",NA,NPS 3/8,Stainless Steel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,2/15/2019,Visual,Yes,Yes,NA,NA,No,2019,2,20
INC2019-024,Operation Beyond Design Limits,2019-02-14,Hardisty,Alberta,Enbridge Pipelines Inc.,Submitted,52.641704,-111.273945,0,Not Applicable,Not Applicable,No,2019,2/13/2019 4:21,2/13/2019 4:21,"Substandard Conditions, Inadequate or improper protective equipment;Substandard Conditions, Defective tools, equipment or materials",External Interference,"Job or system factors, Inadequate maintenance, Inadequate reparative, Scheduling of work",Maintenance,Short-term interruption,Transmission,Operation,SCADA,NA,Yes,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Overpressure - Maximum Operating Pressure,NA,0,OPR,Line 4,"1219.00000000, 864.00000000, 914.00000000",1248.909872,Crude Oil,NA,NA,NA,NA,Canada,No,No,Yes,No,Developed Land - Industrial,More than 10 but fewer than 46 dwelling units per km,175.69,Not Emergency,Inactive Investigation Level in Error,No,NA,"Station/Facility, Compression, Auxiliary power unit;Station/Facility, Compression, Instrumentation and controls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,2,14
